time,Whole Area,South China,Indochina,Malay Archipelago
2020-12-31,413.3894348144531,415.517822265625,414.0607604980469,412.8488464355469
2021-01-31,414.2378845214844,415.9802551269531,414.7674255371094,414.0652770996094
2021-02-28,414.8271789550781,415.7600402832031,414.92694091796875,415.1763916015625
2021-03-31,415.2267761230469,417.4009704589844,415.72454833984375,414.75897216796875
2021-04-30,415.8261413574219,418.75115966796875,417.04852294921875,414.8094177246094
2021-05-31,416.1994934082031,418.68701171875,417.9873352050781,414.9656677246094
2021-06-30,415.7115783691406,417.0840759277344,417.23748779296875,414.7978210449219
2021-07-31,414.9959716796875,415.6526184082031,415.1952819824219,414.6983337402344
2021-08-31,414.2942199707031,414.3077697753906,414.2001953125,414.76556396484375
2021-09-30,413.658203125,413.9219055175781,413.55157470703125,414.1462707519531
2021-10-31,413.9728088378906,415.5232238769531,414.5339660644531,414.2483825683594
2021-11-30,414.6195068359375,416.1020812988281,415.4279479980469,414.273193359375
2021-12-31,415.71295166015625,417.2167053222656,416.3095703125,415.4049987792969
2022-01-31,416.7655029296875,419.6770324707031,417.0230407714844,416.2604675292969
2022-02-28,417.17095947265625,419.4854431152344,417.5920104980469,416.6439208984375
2022-03-31,417.5506591796875,419.1624755859375,417.8511047363281,417.43646240234375
2022-04-30,418.0187072753906,419.8504943847656,419.0760498046875,417.2722473144531
2022-05-31,418.2228088378906,419.89068603515625,419.3175354003906,417.2485046386719
2022-06-30,418.1337585449219,420.20050048828125,419.29278564453125,417.1377868652344
2022-07-31,417.27130126953125,417.7451477050781,416.90899658203125,417.1011047363281
2022-08-31,416.677978515625,417.1153869628906,416.5129699707031,416.78057861328125
2022-09-30,415.9465637207031,415.5591735839844,415.5460510253906,416.34722900390625
2022-10-31,416.02557373046875,416.6171875,416.18597412109375,416.42572021484375
2022-11-30,416.57940673828125,417.63995361328125,416.681884765625,416.7169189453125
2022-12-31,417.6076354980469,419.20611572265625,418.3052062988281,417.1682434082031
2023-01-31,418.4476623535156,420.0495910644531,418.837890625,418.1285400390625
2023-02-28,418.9988098144531,420.6243591308594,419.1806640625,418.75543212890625
2023-03-31,419.7294921875,422.3667907714844,420.2671203613281,419.2156066894531
2023-04-30,420.2391357421875,423.050537109375,421.0666809082031,419.17889404296875
2023-05-31,420.4738464355469,423.00823974609375,421.96728515625,419.33697509765625
2023-06-30,420.3685302734375,422.3629455566406,421.8212890625,419.460205078125
2023-07-31,419.5079650878906,420.1083068847656,419.8207092285156,419.2615966796875
2023-08-31,418.72369384765625,418.8025817871094,418.8655700683594,418.9682922363281
2023-09-30,418.17041015625,418.1554870605469,417.59600830078125,418.9163513183594
2023-10-31,418.4864501953125,419.25579833984375,418.2018737792969,418.9600830078125
2023-11-30,419.32794189453125,420.0547180175781,419.4586181640625,419.5113830566406
2023-12-31,420.5721435546875,421.58331298828125,421.23626708984375,420.4449157714844
2024-01-31,421.7520446777344,423.7967834472656,421.94183349609375,421.6435241699219
2024-02-29,422.3563232421875,423.6558532714844,422.259033203125,422.76690673828125
2024-03-31,422.9778747558594,424.7062683105469,423.2752380371094,422.9472961425781
2024-04-30,423.5572509765625,425.4451599121094,424.5675354003906,423.44122314453125
2024-05-31,423.97088623046875,425.623291015625,425.507568359375,423.5321960449219
2024-06-30,423.7556457519531,426.106689453125,425.19415283203125,422.8327941894531
2024-07-31,423.1064758300781,424.4598083496094,423.4098815917969,422.739013671875
2024-08-31,422.4979248046875,423.0374755859375,422.6822814941406,422.40869140625
2024-09-30,421.7987976074219,422.5601501464844,422.03570556640625,421.9704284667969
2024-10-31,422.0416259765625,422.5702819824219,422.0873107910156,422.2773132324219
2024-11-30,422.9051208496094,424.12255859375,423.4792175292969,422.411376953125
2024-12-31,423.8822937011719,425.544189453125,424.55035400390625,423.1916198730469
2025-01-31,424.7378845214844,425.9763488769531,424.94000244140625,424.258056640625
2025-02-28,425.86749267578125,427.60760498046875,426.1478271484375,425.772705078125
2025-03-31,426.52520751953125,427.53265380859375,427.0536804199219,426.4620361328125
2025-04-30,427.0411071777344,428.74456787109375,427.94891357421875,426.54095458984375
2025-05-31,427.1064453125,429.126708984375,428.30718994140625,426.3827209472656
2025-06-30,426.2856750488281,427.7711486816406,427.0027770996094,425.61126708984375
2025-07-31,425.5929260253906,426.90509033203125,425.63043212890625,425.4873962402344
