time,Whole Area,South China,Indochina,Malay Archipelago
2018-05-31,408.67029256846126,409.61212197478005,409.5392117238833,407.4249575605646
2018-06-30,408.09514220759274,409.5111506147667,409.5269150893679,406.6812350887993
2018-07-31,407.267107629295,408.15707644935713,407.7058085580507,406.5526432161672
2018-08-31,406.579746123849,406.7681098434358,406.4541263513839,406.5586661723171
2018-09-30,406.08631593352123,405.2138224228773,405.15497267350395,406.5802976600268
2018-10-31,406.7054998063935,406.7429937232699,405.7931780624512,407.13541749835053
2018-11-30,407.77801371393537,408.87950393912007,407.6150745990204,407.70477277982724
2018-12-31,408.9117770080683,411.33954606415836,409.7277452020676,408.0701188364122
2019-01-31,410.1366874437748,412.76086280518405,410.50611142494495,409.4156455388249
2019-02-28,410.1164442159676,411.8566436430771,409.49916989837794,409.74942311076705
2019-03-31,410.61223537681417,412.4371918782105,410.5635300820768,410.11246793159506
2019-04-30,411.25868235648477,413.000513312345,411.4438945070857,410.7581231752565
2019-05-31,411.50038301891465,412.91796306542824,412.8676117132267,410.2884400830009
2019-06-30,411.2869120426144,412.6119706083856,412.5345827578617,410.2615342691491
2019-07-31,410.53284533843345,410.4022563882259,410.7146251896638,410.40755070455066
2019-08-31,409.5435922617593,408.5812265493613,409.1463352680512,409.71118905787694
2019-09-30,409.1630696366061,407.9813247687728,407.9547414146948,409.97727574540306
2019-10-31,409.2499783375876,409.8651963954315,408.2915883664447,409.10808784438524
2019-11-30,410.40479679037855,411.35783841305886,410.24084406325346,410.04610141410797
2019-12-31,411.2632943056737,412.668948544033,411.0802314172142,410.75375196473766
2020-01-31,412.23561036598255,414.50127071144595,411.8794421667015,411.7822498121667
2020-02-29,412.8711274031249,413.9672196787388,412.5639677899649,412.9417140332924
2020-03-31,413.35923392142683,415.1733259585689,413.71332297584877,412.96048798750246
2020-04-30,414.1306206707379,415.6304865110207,415.1220828313788,413.41177691585443
2020-05-31,414.2597969157524,415.5780877809944,415.6016515547861,413.5260286399523
2020-06-30,413.7250665550176,414.49315350325037,414.0920372176822,412.7849178290094
2020-07-31,412.75003805470453,413.00268756877983,412.7554615403343,412.07758162180295
2020-08-31,411.992411981669,411.6442709694159,411.43170834287974,412.1267805460436
2020-09-30,411.5128630003531,410.5279449263422,410.7867540273079,411.9852351102202
2020-10-31,412.10122496995206,413.0088907514161,412.15057753384013,412.16973890763916
2020-11-30,413.1148538244557,414.4873428105222,413.2218368540021,412.73053369352016
2020-12-31,413.9222340313827,416.20395900112965,414.20045293048406,413.1286677176511
2021-01-31,414.7212432992268,416.73192351122054,414.9250207035073,414.28729564088457
2021-02-28,415.1513129647123,416.071333981964,414.52560333431506,415.3131100180622
2021-03-31,415.66388116184424,418.17843047316455,415.8515889137209,414.73339706030856
2021-04-30,416.29301046162936,419.37369012568746,417.2220462888516,414.6886413838159
2021-05-31,416.63880981990286,418.7880219819895,417.93238589354996,415.01364905881024
2021-06-30,415.7966208777142,416.7953652965121,416.92361102174493,414.36503758185023
2021-07-31,414.85851339590045,415.21157879390205,414.80113250465894,414.12053836712863
2021-08-31,414.193840798728,413.73123567454905,413.82021827201845,414.4678672707279
2021-09-30,413.74125975124224,413.6430856044464,413.4170264491273,413.9067939606098
2021-10-31,414.57278365726177,416.4341226011154,415.07493526780524,414.26984320560814
2021-11-30,415.2730008093696,416.8714863235962,415.6904593443741,414.2511366053903
2021-12-31,416.3470822560569,418.03675682999597,416.49731566084404,415.55552312288876
2022-01-31,417.37499732387516,420.5256407006593,417.55662393787037,416.52114166827334
2022-02-28,417.7315512370309,420.2525142097952,418.00003795000987,416.896092380558
2022-03-31,418.05727759346627,419.8198589450241,418.0559842304995,417.73565507667524
2022-04-30,418.60396207695436,420.5992271333852,419.59092663636096,417.63380348168675
2022-05-31,418.49781263776646,419.89190833590135,419.55643643654093,417.24877683817647
2022-06-30,418.15971940353046,420.1865803312638,419.4393901715593,416.7688657136702
2022-07-31,416.97195984654223,417.12047561765723,416.9175843838526,416.71095708722527
2022-08-31,416.529809751962,416.71605410290545,416.6206170454534,416.5979999878702
2022-09-30,415.8568105208781,414.8560072785123,415.4373511027418,416.12746360773644
